_id,Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste,ChristmasTree
1,MondayNight,2022-01-03,M,M,0,0,M
2,MondayNight,2022-01-10,M,0,M,0,0
3,MondayNight,2022-01-17,M,M,0,0,M
4,MondayNight,2022-01-24,M,0,M,0,0
5,MondayNight,2022-01-31,M,M,0,0,0
6,MondayNight,2022-02-07,M,0,M,0,0
7,MondayNight,2022-02-14,M,M,0,0,0
8,MondayNight,2022-02-21,M,0,M,0,0
9,MondayNight,2022-02-28,M,M,0,0,0
10,MondayNight,2022-03-07,M,0,M,0,0
11,MondayNight,2022-03-14,M,M,0,M,0
12,MondayNight,2022-03-21,M,0,M,0,0
13,MondayNight,2022-03-28,M,M,0,M,0
14,MondayNight,2022-04-04,M,0,M,0,0
15,MondayNight,2022-04-11,M,M,0,M,0
16,MondayNight,2022-04-18,M,0,M,0,0
17,MondayNight,2022-04-25,M,M,0,M,0
18,MondayNight,2022-05-02,M,0,M,0,0
19,MondayNight,2022-05-09,M,M,0,M,0
20,MondayNight,2022-05-16,M,0,M,0,0
21,MondayNight,2022-05-23,M,M,0,M,0
22,MondayNight,2022-05-30,M,0,M,0,0
23,MondayNight,2022-06-06,M,M,0,M,0
24,MondayNight,2022-06-13,M,0,M,0,0
25,MondayNight,2022-06-20,M,M,0,M,0
26,MondayNight,2022-06-27,M,0,M,0,0
27,MondayNight,2022-07-04,M,M,0,M,0
28,MondayNight,2022-07-11,M,0,M,0,0
29,MondayNight,2022-07-18,M,M,0,M,0
30,MondayNight,2022-07-25,M,0,M,0,0
31,MondayNight,2022-08-01,M,M,0,M,0
32,MondayNight,2022-08-08,M,0,M,0,0
33,MondayNight,2022-08-15,M,M,0,M,0
34,MondayNight,2022-08-22,M,0,M,0,0
35,MondayNight,2022-08-29,M,M,0,M,0
36,MondayNight,2022-09-05,M,0,M,0,0
37,MondayNight,2022-09-12,M,M,0,M,0
38,MondayNight,2022-09-19,M,0,M,0,0
39,MondayNight,2022-09-26,M,M,0,M,0
40,MondayNight,2022-10-03,M,0,M,0,0
41,MondayNight,2022-10-10,M,M,0,M,0
42,MondayNight,2022-10-17,M,0,M,0,0
43,MondayNight,2022-10-24,M,M,0,M,0
44,MondayNight,2022-10-31,M,0,M,0,0
45,MondayNight,2022-11-07,M,M,0,M,0
46,MondayNight,2022-11-14,M,0,M,0,0
47,MondayNight,2022-11-21,M,M,0,M,0
48,MondayNight,2022-11-28,M,0,M,0,0
49,MondayNight,2022-12-05,M,M,0,M,0
50,MondayNight,2022-12-12,M,0,M,0,0
